#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
23;J0024-7204R;clf+00;J0024-7204R;clf+00;00:24:07.5851;2.0e-04;frk+17;-72:04:50.3954;5.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.892;-44.890;287.318119469300;1.0e-11;frk+17;-1.22467E-14;2.0e-19;frk+17;-8.5E-27;1.5e-27;frk+17;*;0;*;51600;frk+17;24.36100;8.0e-05;apr+23;*;0;*;*;0;*;*;0;*;ELL1;frk+17;*;0;*;0.06623147751;6.0e-11;frk+17;0.0333630;1.0e-06;frk+17;253;0.0e+00;frk+17;0.00010;0.0e+00;frk+17;51600.0029871;6.0e-07;frk+17;-10.0E-5;6.0e-05;frk+17;-3.0E-5;7.0e-05;frk+17;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
24;J0024-7204S;clf+00;J0024-7204S;clf+00;00:24:03.9794;1.0e-04;frk+17;-72:04:42.3530;4.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.898;-44.892;353.306209385356;9.0e-12;frk+17;1.504660E-14;1.0e-19;frk+17;-7.8E-27;8.0e-28;frk+17;*;0;*;51600;frk+17;24.381790;1.0e-05;apr+23;*;0;*;*;0;*;*;0;*;ELL1;frk+17;*;0;*;1.2017242354;6.0e-10;frk+17;0.7662686;8.0e-07;frk+17;13.2;0.0e+00;frk+17;0.000398;0.0e+00;frk+17;51600.6250241;2.0e-07;frk+17;9.1E-5;3.0e-06;frk+17;0.000387;2.0e-06;frk+17;4.520;GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+15];pksgc;*;
25;J0024-7204T;clf+00;J0024-7204T;clf+00;00:24:08.5491;5.0e-04;frk+17;-72:04:38.932;3.0e-03;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.890;-44.894;131.77869947406;2.0e-11;frk+17;-5.1021E-15;2.0e-19;frk+17;-3.0E-27;2.0e-27;frk+17;*;0;*;51600;frk+17;24.421;4.0e-03;apr+23;*;0;*;*;0;*;*;0;*;ELL1;frk+17;*;0;*;1.1261767710;1.0e-09;frk+17;1.338501;5.0e-06;frk+17;62.5;0.0e+00;frk+17;0.000400;0.0e+00;frk+17;51600.5692696;7.0e-07;frk+17;0.000355;7.0e-06;frk+17;0.000185;7.0e-06;frk+17;4.520;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+15];pksgc;*;
26;J0024-7204U;clf+00;J0024-7204U;clf+00;00:24:09.8366;1.0e-04;frk+17;-72:03:59.6882;4.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.890;-44.905;230.264772211776;6.0e-12;frk+17;-5.04916E-15;9.0e-20;frk+17;1.88E-26;6.0e-28;frk+17;*;0;*;51600;frk+17;24.3400;1.0e-03;apr+23;*;0;*;*;0;*;*;0;*;ELL1;frk+17;*;0;*;0.42910568324;8.0e-11;frk+17;0.5269494;7.0e-07;frk+17;348.5;0.0e+00;frk+17;0.000146;0.0e+00;frk+17;51600.38935160;1.0e-07;frk+17;-2.9E-5;4.0e-06;frk+17;0.000143;2.0e-06;frk+17;4.520;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+15];pksgc;*;
27;J0024-7204V;clf+00;J0024-7204V;clf+00;00:24:05.67;0;mam+06;-72:04:52.62;0;mam+06;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51000.00;*;305.895;-44.889;207.892963;3.0e-06;rft+16;*;0;*;*;0;*;*;0;*;51000;rft+16;24.105;0;rft+16;*;0;*;*;0;*;*;0;*;BTX;rft+16;51803.775137;2.0e-06;rft+16;0.2121312098;1.6e-09;rft+16;0.74191;2.0e-05;rft+16;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104);pksgc;*;
28;J0024-7204W;clf+00;J0024-7204W;clf+00;00:24:06.058;1.0e-03;rft+16;-72:04:49.088;2.0e-03;rft+16;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;50000;rft+16;305.894;-44.890;425.10779625320;5.0e-11;rft+16;1.56415E-14;2.0e-19;rft+16;*;0;*;*;0;*;50000;rft+16;24.370;4.0e-03;apr+23;*;0;*;*;0;*;*;0;*;BTX;rft+16;51585.3327393;2.0e-07;rft+16;0.1329444433;5.0e-10;rft+16;0.243443;2.0e-06;rft+16;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;*;
29;J0024-7204X;fre08;J0024-7204X;fre08;00:24:22.38565;9.0e-05;rft+16;-72:01:17.4414;7.0e-04;rft+16;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;54000;rft+16;305.877;-44.952;209.576694635350;2.0e-12;rft+16;-8.0646E-16;3.0e-20;rft+16;*;0;*;*;0;*;54000;rft+16;24.538;2.0e-03;apr+23;*;0;*;*;0;*;*;0;*;ELL1;rft+16;*;0;*;10.9211835450;1.0e-09;rft+16;11.9170570;9.0e-07;rft+16;117;0.0e+00;rft+16;4.5E-7;0.0e+00;rft+16;53278.0247041;2.0e-07;rft+16;4.0E-7;1.0e-07;rft+16;-2.0E-7;2.0e-07;rft+16;4.520;GC:47Tuc(NGC104);pksgc;*;
30;J0024-7204Y;frk+17;J0024-7204Y;frk+17;00:24:01.4026;1.0e-04;frk+17;-72:04:41.8363;4.0e-04;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.903;-44.891;455.237178432410;1.0e-11;frk+17;7.2891E-15;2.0e-19;frk+17;-2.11E-26;9.0e-28;frk+17;*;0;*;51600;frk+17;24.475;3.0e-03;apr+23;*;0;*;*;0;*;*;0;*;ELL1;frk+17;*;0;*;0.52193861070;1.0e-10;frk+17;0.6685965;7.0e-07;frk+17;270;0.0e+00;frk+17;3.0E-6;0.0e+00;frk+17;51554.8340067;2.0e-07;frk+17;-3.0E-6;3.0e-06;frk+17;0.000000;2.0e-06;frk+17;4.520;GC:47Tuc(NGC104),OPT:[cpf+15];pksgc;*;
31;J0024-7204Z;frk+17;J0024-7204Z;frk+17;00:24:06.041;2.0e-03;frk+17;-72:05:01.480;6.0e-03;frk+17;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;51600;frk+17;305.894;-44.887;219.56560603460;1.0e-10;frk+17;2.19E-16;3.0e-18;frk+17;8.0E-27;3.0e-26;frk+17;*;0;*;51600;frk+17;24.45;4.0e-02;frk+17;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bhc+17];misc;*;
32;J0024-7204aa;phl+16;J0024-7204aa;phl+16;00:24:05.67;0;mam+06;-72:04:52.62;0;mam+06;5.25;3.0e-02;vb21;-2.55;3.0e-02;vb21;0.232;9.0e-03;vb21;57022.00;*;305.895;-44.889;543.478261;0;phl+16;*;0;*;*;0;*;*;0;*;57022;phl+16;24.921;2.0e-03;apr+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.520;GC:47Tuc(NGC104),XRS:[bhc+17];misc;*;
