#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
1897;J1748-2021B;frb+08;J1748-2021B;frb+08;17:48:52.95290;8.0e-05;frb+08;-20:21:38.86;1.9e-01;frb+08;-1.19;4.0e-02;vb21;-4.02;4.0e-02;vb21;0.149;1.3e-02;vb21;54000.00;*;7.729;3.800;59.665418222544;1.7e-11;frb+08;1.1717E-15;6.0e-19;frb+08;*;0;*;*;0;*;54000.0;frb+08;220.922;1.1e-02;frb+08;*;0;*;*;0;*;*;0;*;BT;frb+08;54005.480292;7.0e-06;frb+08;20.5500072;6.0e-07;frb+08;4.466994;6.0e-06;frb+08;314.31935;1.3e-04;frb+08;0.5701606;1.5e-06;frb+08;*;0;*;*;0;*;*;0;*;8.200;GC:NGC6440;misc;*;
1898;J1748-2021C;frb+08;J1748-2021C;frb+08;17:48:51.17320;1.5e-04;frb+08;-20:21:53.81;4.0e-02;frb+08;-1.19;4.0e-02;vb21;-4.02;4.0e-02;vb21;0.149;1.3e-02;vb21;54000.00;*;7.721;3.804;160.59270990836;6.0e-11;frb+08;1.543E-15;4.0e-18;frb+08;*;0;*;*;0;*;54000.0;frb+08;226.95;6.0e-02;frb+08;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.200;GC:NGC6440;misc;*;
1899;J1748-2021D;frb+08;J1748-2021D;frb+08;17:48:51.64665;7.0e-05;frb+08;-20:21:07.414;1.8e-02;frb+08;-1.19;4.0e-02;vb21;-4.02;4.0e-02;vb21;0.149;1.3e-02;vb21;54000.00;*;7.734;3.809;74.097014488305;1.3e-11;frb+08;-3.2216E-15;9.0e-19;frb+08;*;0;*;*;0;*;54000.0;frb+08;224.98;3.0e-02;frb+08;*;0;*;*;0;*;*;0;*;BT;frb+08;54000.1053987;3.0e-07;frb+08;0.2860686769;4.0e-10;frb+08;0.397203;3.0e-06;frb+08;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.200;GC:NGC6440;misc;*;
1900;J1748-2021E;frb+08;J1748-2021E;frb+08;17:48:52.80040;1.4e-04;frb+08;-20:21:29.38;3.0e-02;frb+08;-1.19;4.0e-02;vb21;-4.02;4.0e-02;vb21;0.149;1.3e-02;vb21;54000.00;*;7.731;3.802;61.48547652886;2.0e-11;frb+08;-1.1812E-15;1.5e-18;frb+08;*;0;*;*;0;*;54000.0;frb+08;224.10;4.0e-02;frb+08;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.200;GC:NGC6440;misc;*;
1901;J1748-2021F;frb+08;J1748-2021F;frb+08;17:48:52.3339;3.0e-04;frb+08;-20:21:39.33;9.0e-02;frb+08;-1.19;4.0e-02;vb21;-4.02;4.0e-02;vb21;0.149;1.3e-02;vb21;54000.00;*;7.727;3.802;263.5998326931;2.0e-10;frb+08;7.33E-16;1.3e-17;frb+08;*;0;*;*;0;*;54000.0;frb+08;220.43;8.0e-02;frb+08;*;0;*;*;0;*;*;0;*;BT;frb+08;54005.80617;6.0e-05;frb+08;9.83396979;8.0e-08;frb+08;9.497573;1.1e-05;frb+08;191.500;2.0e-03;frb+08;0.053108;3.0e-06;frb+08;*;0;*;*;0;*;*;0;*;8.200;GC:NGC6440;misc;*;
1902;J1748-2444;lmd+90;J1748-2444;lmd+90;17:48:48.51;2.0e-02;hlk+04;-24:44:37;1.1e+01;hlk+04;*;0;*;*;0;*;*;0;*;50477.0;hlk+04;3.955;1.564;2.25815958180;3.0e-11;hlk+04;-5.6761E-16;1.7e-19;hlk+04;-1.9E-27;5.4e-27;hlk+04;*;0;*;50477.0;hlk+04;207.33;9.0e-02;hlk+04;*;0;*;*;0;*;0.34;4.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.841;*;misc,htru_pks,pksmb;*;
1903;B1744-24A;lmd+90;J1748-2446A;lmd+90;17:48:02.255;2.0e-03;lmbm00;-24:46:36.9;6.0e-01;lmbm00;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;48270.00;*;3.836;1.696;86.4816368591;3.0e-10;lmbm00;2.54E-16;3.0e-18;lmbm00;*;0;*;*;0;*;48270.0;lmbm00;242.15;4.0e-02;hfs+04;*;0;*;*;0;*;0.61;7.0e-02;hfs+04;BT;lmbm00;*;0;*;0.075646111;2.0e-09;lmbm00;0.11971;3.0e-05;lmbm00;*;0;*;*;0;*;48270.029979;7.0e-06;lmbm00;*;0;*;*;0;*;6.620;GC:Terzan5;misc,htru_pks,pksmb;*;
1904;J1748-2446C;lmbm00;J1748-2446C;lmbm00;17:48:04.54;1.0e-02;lmbm00;-24:46:36;4.0e+00;lmbm00;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;50958.00;*;3.841;1.689;118.5382530563;1.5e-09;lmbm00;8.52E-15;6.0e-17;lmbm00;*;0;*;*;0;*;50958.0;lmbm00;237.0;1.0e+00;lmbm00;*;0;*;*;0;*;1.1;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1905;J1748-2446D;rhs+05;J1748-2446D;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;212.134969;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;243.62;0;mrd+22;*;0;*;*;0;*;0.071;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1906;J1748-2446E;rhs+05;J1748-2446E;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;455.000455;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;236.63;0;mrd+22;*;0;*;*;0;*;0.17;0;mrd+22;BT;rhs+05;*;0;*;60.06;0;rhs+05;23.6;0;rhs+05;*;0;*;0.02;0;fre08;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1907;J1748-2446F;rhs+05;J1748-2446F;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;180.500854;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;239.07;0;mrd+22;*;0;*;*;0;*;0.055;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1908;J1748-2446G;rhs+05;J1748-2446G;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;46.142765;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;237.34;0;mrd+22;*;0;*;*;0;*;0.024;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1909;J1748-2446H;rhs+05;J1748-2446H;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;203.008999;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;237.97;0;mrd+22;*;0;*;*;0;*;0.039;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1910;J1748-2446I;rhs+05;J1748-2446I;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;104.491133;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;238.55;0;mrd+22;*;0;*;*;0;*;0.095;0;mrd+22;BT;rhs+05;*;0;*;1.328;0;rhs+05;1.818;0;rhs+05;*;0;*;0.428;0;rhs+05;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1911;J1748-2446J;rhs+05;J1748-2446J;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;12.447421;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;234.21;0;mrd+22;*;0;*;*;0;*;0.058;0;mrd+22;BT;rhs+05;*;0;*;1.102;0;rhs+05;2.454;0;rhs+05;*;0;*;0.350;0;rhs+05;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1912;J1748-2446K;rhs+05;J1748-2446K;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;336.740020;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;234.46;0;mrd+22;*;0;*;*;0;*;0.066;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1913;J1748-2446L;rhs+05;J1748-2446L;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;445.493830;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;237.50;0;mrd+22;*;0;*;*;0;*;0.096;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1914;J1748-2446M;rhs+05;J1748-2446M;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;280.145788;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;238.49;0;mrd+22;*;0;*;*;0;*;0.140;0;mrd+22;BT;rhs+05;*;0;*;0.4431;0;rhs+05;0.596;0;rhs+05;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1915;J1748-2446N;rhs+05;J1748-2446N;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;115.381509;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;238.29;0;mrd+22;*;0;*;*;0;*;0.150;0;mrd+22;BT;rhs+05;*;0;*;0.3855;0;rhs+05;1.619;0;rhs+05;*;0;*;0.000045;0;rhs+05;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1916;J1748-2446O;rhs+05;J1748-2446O;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;596.434514;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;236.20;0;mrd+22;*;0;*;*;0;*;0.310;0;mrd+22;BT;rhs+05;*;0;*;0.2595;0;rhs+05;0.112;0;rhs+05;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1917;J1748-2446P;rhs+05;J1748-2446P;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;578.496141;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;238.79;0;rhs+05;*;0;*;*;0;*;*;0;*;BT;rhs+05;*;0;*;0.3626;0;rhs+05;1.272;0;rhs+05;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1918;J1748-2446Q;rhs+05;J1748-2446Q;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;355.618777;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;234.24;0;mrd+22;*;0;*;*;0;*;0.056;0;mrd+22;BT;fre08;*;0;*;30.295;0;fre08;28.602;0;fre08;*;0;*;0.722;0;fre08;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1919;J1748-2446R;rhs+05;J1748-2446R;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;198.864879;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;237.38;0;mrd+22;*;0;*;*;0;*;0.035;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1920;J1748-2446S;rhs+05;J1748-2446S;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;163.488451;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;236.22;0;mrd+22;*;0;*;*;0;*;0.020;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1921;J1748-2446T;rhs+05;J1748-2446T;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;141.145053;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;237.80;0;mrd+22;*;0;*;*;0;*;0.026;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1922;J1748-2446U;rhs+05;J1748-2446U;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;304.030841;0;fre08;*;0;*;*;0;*;*;0;*;53203;fre08;235.47;0;mrd+22;*;0;*;*;0;*;0.030;0;mrd+22;BT;fre08;*;0;*;3.57026;0;fre08;5.97248;0;fre08;*;0;*;0.60498;0;fre08;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1923;J1748-2446V;rhs+05;J1748-2446V;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;482.506719;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;238.71;0;mrd+22;*;0;*;*;0;*;0.100;0;mrd+22;BT;rhs+05;*;0;*;0.5036;0;rhs+05;0.567;0;rhs+05;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1924;J1748-2446W;rhs+05;J1748-2446W;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;237.801949;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;238.92;0;mrd+22;*;0;*;*;0;*;0.054;0;mrd+22;BT;rhs+05;*;0;*;4.877;0;rhs+05;5.869;0;rhs+05;*;0;*;0.015;0;rhs+05;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1925;J1748-2446X;rhs+05;J1748-2446X;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;333.415576;0;fre08;*;0;*;*;0;*;*;0;*;53203;fre08;239.81;0;mrd+22;*;0;*;*;0;*;0.043;0;mrd+22;BT;fre08;*;0;*;4.99850;0;fre08;5.1071;0;fre08;*;0;*;0.3024;0;fre08;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1926;J1748-2446Y;rhs+05;J1748-2446Y;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53203.00;*;3.839;1.687;488.243106;0;rhs+05;*;0;*;*;0;*;*;0;*;53203;rhs+05;238.79;0;mrd+22;*;0;*;*;0;*;0.037;0;mrd+22;BT;rhs+05;*;0;*;1.17;0;rhs+05;1.1785;0;fre08;*;0;*;0.00002;0;fre08;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1927;J1748-2446Z;fre08;J1748-2446Z;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;406.076529;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;238.77;0;mrd+22;*;0;*;*;0;*;0.030;0;mrd+22;BT;fre08;*;0;*;3.48807;0;fre08;3.5304;0;fre08;*;0;*;0.7608;0;fre08;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1928;J1748-2446aa;fre08;J1748-2446aa;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;172.770057;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;237.43;0;mrd+22;*;0;*;*;0;*;0.029;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1929;J1748-2446ab;fre08;J1748-2446ab;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;195.323563;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;242.15;4.0e-02;hfs+04;*;0;*;*;0;*;0.045;0;mrd+22;BT;lmbm00;*;0;*;0.075646111;2.0e-09;lmbm00;0.11971;3.0e-05;lmbm00;*;0;*;*;0;*;48270.029979;7.0e-06;lmbm00;*;0;*;*;0;*;6.620;GC:Terzan5;misc,htru_pks,pksmb;*;
1930;J1748-2446ac;fre08;J1748-2446ac;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;196.582994;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;238.69;0;mrd+22;*;0;*;*;0;*;0.031;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1931;J1748-2446ad;hrs+06;J1748-2446ad;hrs+06;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53500.00;*;3.839;1.687;716.35556;4.0e-05;hrs+06;-0.0000000000000;4.0e-13;hrs+06;*;0;*;*;0;*;53500;hrs+06;235.60;1.0e-01;hrs+06;*;0;*;*;0;*;*;0;*;ELL1;hrs+06;*;0;*;1.09443034;6.0e-08;hrs+06;1.10280;6.0e-05;hrs+06;*;0;*;*;0;*;53318.995689;1.2e-05;hrs+06;0.00000;1.0e-04;hrs+06;0.00000;1.0e-04;hrs+06;6.620;GC:Terzan5;misc;*;
1932;J1748-2446ae;fre08;J1748-2446ae;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;273.329343;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;238.61;0;mrd+22;*;0;*;*;0;*;0.056;0;mrd+22;BT;fre08;*;0;*;0.17073;0;fre08;0.0406;0;fre08;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1933;J1748-2446af;fre08;J1748-2446af;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;302.632296;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;237.35;0;mrd+22;*;0;*;*;0;*;0.033;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1934;J1748-2446ag;fre08;J1748-2446ag;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;224.818628;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;237.28;0;mrd+22;*;0;*;*;0;*;0.016;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1935;J1748-2446ah;fre08;J1748-2446ah;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;201.403784;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;237.70;0;mrd+22;*;0;*;*;0;*;0.014;0;mrd+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1936;J1748-2446ai;fre08;J1748-2446ai;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;54100.00;*;3.839;1.687;47.106750;0;fre08;*;0;*;*;0;*;*;0;*;54100;fre08;234.02;0;mrd+22;*;0;*;*;0;*;0.033;0;mrd+22;BT;fre08;*;0;*;0.85088;0;fre08;2.8088;0;fre08;*;0;*;0.4400;0;fre08;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1937;J1748-2446aj;crf+18;J1748-2446aj;crf+18;17:48:05.0119;2.0e-04;crf+18;-24:46:34.85;7.0e-02;crf+18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;56498.00;*;3.842;1.688;337.96234149929;4.0e-11;crf+18;-1.61313E-14;7.0e-19;crf+18;-1.8E-25;4.0e-26;crf+18;*;0;*;56498;crf+18;238.633;6.0e-03;crf+18;*;0;*;*;0;*;0.034;0;crf+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1938;J1748-2446ak;crf+18;J1748-2446ak;crf+18;17:48:03.6860;2.0e-04;crf+18;-24:46:37.83;8.0e-02;crf+18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;56498.00;*;3.839;1.692;529.07066473956;4.0e-11;crf+18;-2.4771E-14;2.0e-18;crf+18;*;0;*;*;0;*;56498;crf+18;236.705;5.0e-03;crf+18;*;0;*;*;0;*;0.030;0;crf+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1939;J1748-2446al;crf+18;J1748-2446al;crf+18;17:48;3.0e+00;crf+18;-24:46;7.0e+00;crf+18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;*;*;3.841;1.709;168.067227;0;crf+18;*;0;*;*;0;*;*;0;*;*;*;236.48;3.0e-02;crf+18;*;0;*;*;0;*;0.008;0;crf+18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1940;J1748-2446am;ar18;J1748-2446am;ar18;17:48:04.8235;2.0e-04;ar18;-24:46:47.21;9.0e-02;ar18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;53700.00;*;3.839;1.687;340.8525546358;2.0e-10;ar18;1.5893E-14;4.0e-18;ar18;*;0;*;*;0;*;53700;ar18;238.193;3.0e-03;ar18;*;0;*;*;0;*;*;0;*;DD;ar18;53700.440278;6.0e-06;ar18;0.80010926;2.0e-08;ar18;0.937815;5.0e-06;ar18;337.365;2.0e-03;ar18;0.204736;9.0e-06;ar18;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;misc;*;
1941;J1748-2446an;rgf+21;J1748-2446an;rgf+21;17:48:05.65898;1.6e-04;rgf+21;-24:46:42.03;7.0e-02;rgf+21;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;0.14;3.0e-02;vb21;56000.0;rgf+21;3.842;1.685;208.23191713844;2.0e-11;rgf+21;-6.753E-15;3.0e-18;rgf+21;-8.83E-25;1.6e-26;rgf+21;-4.59E-33;6.0e-35;rgf+21;56000.0;rgf+21;237.736;8.0e-03;rgf+21;*;0;*;*;0;*;0.031;2.0e-03;rgf+21;DD;rgf+21;56743.68920;1.0e-04;rgf+21;9.6197533;8.0e-07;rgf+21;12.782039;4.0e-06;rgf+21;-145.262;5.0e-03;rgf+21;0.0065856;6.0e-07;rgf+21;*;0;*;*;0;*;*;0;*;6.620;GC:Terzan5;meerkat_trapum;*;
