J0255-5304 02:55:56.221 8 -53:04:21.36 8 269.86 -55.31 0.447708444058 3 0.0306 3 46800.0 15.9 5 -10 12 1.15 17 0 3 0 0000004011 mol1,mol2,pks70
J0304+1932 03:04:33.112 5 +19:32:50.70 7 161.14 -33.27 1.387584446262 3 1.29524 20 49289.0 15.737 9 -8.3 3 0.95 27 3 3 1 0000400010 misc,mol2
J0323+3944 03:23:26.605 6 +39:44:53.06 7 152.18 -14.34 3.032071956385 10 0.63562 7 49290.0 26.01 3 58 3 1.49 34 7 0.9 2 0000000060 gb1,gb2
J0329+16 03:29:13 20 +16:54 5 168.52 -31.67 0.8933 1 0 0 51257 35 10 * 0 +3.35 * 0 * 0 0000400000 misc
J0332+5434 03:32:59.3862 10 +54:34:43.505 15 145.00 -1.22 0.7145196822210 16 2.04829 4 46374.0 26.840 9 -63.7 4 1.06 1500 200 203 57 0000000262 jb1,gb1,gb2,gb3
J0335+4555 03:35:16.6470 12 +45:55:53.48 3 150.35 -8.04 0.26920054092953 13 0.0073505 10 49912.0 47.153 3 -41 20 2.08 6 2 0.8 2 0000000040 gb2
J0343+5312 03:43:12.91 5 +53:12:53.4 6 147.02 -1.43 1.934478067294 15 13.4224 15 49309.0 67.30 6 * 0 2.48 3.7 6 0.3 0 0000000060 gb1,gb2
J0357+5236 03:57:44.8155 13 +52:36:57.70 3 149.10 -0.52 0.1970300980314 3 0.476594 3 49912.0 103.706 4 261 13 4.73 12 2 1.9 2 0000000040 gb2
J0358+5413 03:58:53.7124 15 +54:13:13.67 3 148.19 0.81 0.1563824177774 15 4.39686 13 49616.0 57.153 3 79 4 2.07 46 7 23 7 0000000262 jb1,gb1,gb2,gb3
J0401-7608 04:01:51.68 7 -76:08:13.8 3 290.31 -35.91 0.545252742352 16 1.5382 12 46800.00 21.6 4 19.0 5 1.50 19 0 14 0 0000004010 mol2,pks70
J0406+6138 04:06:30.047 4 +61:38:40.92 5 144.02 7.05 0.594574283247 11 5.57683 11 49876.0 65.303 7 9 3 3.05 15 1 2.8 2 0000000260 gb1,gb2,gb3
J0415+6954 04:15:55.653 4 +69:54:9.89 3 138.91 13.67 0.3907150899386 3 0.076601 3 49874.0 27.465 4 * 0 1.57 6.4 3 0.5 1 0000000040 gb2
J0417+35 04:17:43 16 +35:45 5 163.22 -10.52 0.65440 3 0 0 * 51 10 * 0 2.68 * 0 * 0 0000020000 ar4
J0421-0345 04:21:33.559 5 -03:45:06.7 2 197.50 -34.76 2.161308494552 15 1.16338 15 50847.0 44.61 9 * 0 +3.09 6 0 0.5 0 0000004000 pks70
J0435+27 04:35:34 20 +27:44 5 171.86 -13.18 0.3262793 9 0 0 * 53 5 * 0 3.43 * 0 * 0 0000020000 ar4
J0437-4715 04:37:15.7865138 15 -47:15:08.461581 15 253.39 -41.96 0.005757451831071994 14 5.72911e-05 10 51194.000 2.6469 1 +1.5 5 0.14 550 100 137 3 0001004000 pks70,phmb
J0448-2749 04:48:41.561 3 -27:49:46.79 8 228.35 -37.92 0.4504483308563 17 0.148347 19 51009.0 26.22 4 * 0 +2.87 2 0 0.7 0 0001004000 pks70,phmb
J0450-1248 04:50:8.781 3 -12:48:7.10 9 211.08 -32.63 0.4380141493906 8 0.102649 6 49338.0 37.041 10 13 5 +3.27 11 1 0.9 1 0000004010 mol2,pks70
J0452-1759 04:52:34.0979 10 -17:59:23.45 3 217.08 -34.09 0.548939223294 3 5.75311 16 49289.0 39.903 3 13.8 7 +3.14 82 10 5.3 8 0000004011 mol1,mol2,pks70
J0454+5543 04:54:7.709 3 +55:43:41.51 5 152.62 7.55 0.340729436235 10 2.37227 7 49910.0 14.495 7 10 3 0.79 59 9 13 3 0000000060 gb1,gb2
J0455-6951 04:55:47.55 8 -69:51:34.3 6 281.29 -35.19 0.320422711526 12 10.2119 15 48757.0 94.89 14 * 0 49.4 0.6 0 * 0 0000400000 misc
J0459-0210 04:59:51.945 2 -02:10:06.79 8 201.44 -25.68 1.133076123659 6 1.39825 6 50845.0 21.02 3 18 9 1.30 11 0 0.5 0 0000004000 pks70
J0502+4654 05:02:4.561 4 +46:54:6.09 9 160.36 3.08 0.638565481517 3 5.58234 17 48717.0 42.187 8 -43 6 1.78 10.8 7 2.5 1 0000000220 gb1,gb3
J0502-6617 05:02:50.53 10 -66:17:58.8 9 276.87 -35.50 0.69125141818 4 23.09 6 48771.0 68.9 3 * 0 49.4 1.0 0 * 0 0000400000 misc
J0520-2553 05:20:36.185 4 -25:53:12.28 10 228.43 -30.54 0.2416421756731 7 0.030092 9 51216.0 33.77 3 19 15 +3.47 8 0 0.2 0 0001004000 pks70,phmb
J0525+1115 05:25:56.4483 11 +11:15:19.08 8 192.70 -13.25 0.35443759451370 13 0.0736052 6 48262.0 79.345 3 29 5 +7.68 19.5 9 1.6 1 0000000010 mol2
J0525-6607 05:26:00.9 1 -66:04:36.3 6 276.09 -33.25 8.0470 2 65000 5 52153.0 * 0 * 0 * * 0 * 0 0000400000 misc
J0528+2200 05:28:52.308 12 +22:00:1.2 27 183.86 -6.90 3.74551267840 3 40.0363 8 46517.0 50.937 17 -39.6 2 2.28 57 5 9 2 0000000220 gb1,gb3
J0529-6652 05:29:50.92 13 -66:52:38.2 9 276.97 -32.76 0.97572496638 6 15.509 6 48739.0 103.2 3 4 4 49.4 * 0 * 0 0000400000 misc
J0533+0402 05:33:25.82 1 +04:02:00.5 4 200.08 -15.33 0.96301770198 2 0.16 1 49800.0 83.7 1 * 0 +6.66 * 0 * 0 0000010000 gb4
J0534+2200 05:34:31.973 5 +22:00:52.06 6 184.56 -5.78 0.03308471603 11 422.765 4 40000.00 56.791 1 -42.3 5 2.0 646 70 14 3 0000400000 misc
J0535-6935 05:35 2 -69:35 7 280.08 -31.94 0.20051011 2 11.4 8 51006.8 89.4 8 * 0 +3.33 * 0 * 0 0000400000 misc
